"","Home ID","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals"
"93",1610612756,13,124,109,14,15,10,17,0.536,0.437,0.3,0.323529412,9,7
"94",1610612759,13,107,98,-5,9,14,16,0.419,0.404,0.4,0.137931034,6,11
"95",1610612765,13,128,114,-4.5,14,12,13,0.482,0.424,0.424242424,0.307692308,4,8
"96",1610612746,14,95,93,10,2,8,7,0.425,0.386,0.25,0.285714286,7,9
"97",1610612749,14,110,108,14,2,14,13,0.437,0.446,0.275,0.275862069,5,9
"98",1610612751,14,116,109,5.5,7,6,10,0.538,0.471,0.366666667,0.282051282,11,11
"99",1610612761,14,139,109,2,30,12,7,0.5,0.464,0.411764706,0.379310345,13,1
"100",1610612762,14,121,105,1.5,16,11,18,0.472,0.413,0.404255319,0.230769231,10,8
"101",1610612764,14,111,118,-4,-7,9,4,0.469,0.554,0.4,0.4,8,14
"102",1610612766,14,108,115,3,-7,6,10,0.512,0.435,0.482758621,0.386363636,11,8
"103",1610612748,15,116,109,2.5,7,9,10,0.455,0.464,0.380952381,0.367346939,7,8
"104",1610612751,15,99,108,3,-9,4,11,0.486,0.438,0.375,0.4,4,8
"105",1610612756,15,116,107,4,9,7,10,0.461,0.425,0.395348837,0.382352941,9,5
"106",1610612760,15,116,108,4.5,8,8,12,0.474,0.448,0.294117647,0.344827586,13,7
"107",1610612739,16,114,113,-0.5,1,9,8,0.42,0.409,0.282051282,0.268292683,6,5
"108",1610612741,16,106,88,2.5,18,11,13,0.432,0.391,0.451612903,0.21875,6,12
"109",1610612742,16,103,100,6,3,7,12,0.5,0.464,0.289473684,0.333333333,9,6
"110",1610612745,16,101,109,-4.5,-8,16,9,0.42,0.488,0.289473684,0.363636364,9,10
"111",1610612747,16,120,117,-0.5,3,11,11,0.459,0.461,0.277777778,0.32,6,10
"112",1610612748,16,110,107,5,3,9,4,0.494,0.477,0.323529412,0.361111111,5,4
"113",1610612749,16,116,91,12,25,15,2,0.467,0.418,0.263157895,0.35483871,17,7
"114",1610612752,16,99,112,1.5,-13,12,17,0.411,0.411,0.277777778,0.352941176,3,11
"115",1610612755,16,111,121,6.5,-10,6,7,0.464,0.577,0.527777778,0.238095238,3,4
"116",1610612757,16,106,111,-3.5,-5,16,10,0.404,0.458,0.393939394,0.464285714,5,7
"117",1610612759,16,100,143,-4,-43,13,9,0.394,0.538,0.325581395,0.424242424,3,16
"118",1610612753,17,130,129,-6.5,1,11,9,0.538,0.515,0.433333333,0.441860465,9,5
"119",1610612760,17,110,122,-4.5,-12,10,8,0.484,0.536,0.206896552,0.580645161,9,5
"120",1610612738,18,123,119,8.5,4,7,4,0.494,0.518,0.290322581,0.392857143,5,8
"121",1610612740,18,114,105,15,9,9,3,0.506,0.493,0.413793103,0.375,10,7
"122",1610612742,18,111,110,3.5,1,6,18,0.506,0.443,0.352941176,0.323529412,12,10
"123",1610612747,18,116,130,NA,-14,9,15,0.482,0.505,0.423076923,0.425,6,8
"124",1610612750,18,102,115,1,-13,10,7,0.424,0.482,0.268292683,0.447368421,2,7
"125",1610612754,18,101,99,-0.5,2,5,8,0.463,0.383,0.307692308,0.282051282,7,10
"126",1610612755,18,104,106,4,-2,13,10,0.378,0.463,0.276595745,0.272727273,12,5
"127",1610612756,18,106,108,13,-2,13,11,0.434,0.506,0.411764706,0.434782609,8,6
"128",1610612759,18,106,113,1,-7,6,3,0.477,0.525,0.387096774,0.454545455,7,6
"129",1610612763,18,130,99,10.5,31,18,12,0.51,0.384,0.444444444,0.296296296,6,11
"130",1610612764,18,86,128,2,-42,7,7,0.361,0.556,0.235294118,0.5,4,8
