Game_id,Day,Home_ID,Away_ID,Home_pts,Away_pts,Spread,Home_oreb,Away_oreb,Home_FGPct,Away_FGPct,Home_3Pct,Away_3Pct,Home_Steals,Away_Steals,Home_TPG,Away_TPG,Home_TSG,Away_TSG,Home_TOG,Away_TOG,Home_PPG,Away_PPG,Home_SPG,Away_STG,Home_OPG,Away_OPG
22200058,9,1610612752,1610612766,134,131,3,12,9,0.536,0.495,0.366666667,0.419354839,5,9,357,367,18,23,47,39,86.6,83.5,5.6,7.5,10.6,7.25
22200066,10,1610612751,1610612742,125,129,-4,13,7,0.462,0.506,0.342857143,0.5,10,8,440,353,24,21,38,31,89.25,91.75,4.5,5.75,11.75,9.75
22200068,10,1610612744,1610612748,123,110,13,16,8,0.5,0.443,0.391304348,0.325581395,4,16,481,533,35,34,34,48,88,88.25,4.8,5.25,7.6,7.75
22200067,10,1610612760,1610612746,118,110,8,13,10,0.495,0.537,0.447368421,0.321428571,10,6,439,403,35,30,58,31,96.2,88.83333333,7,5.666666667,6.8,8
22200069,10,1610612758,1610612763,110,125,-15,9,11,0.482,0.533,0.315789474,0.424242424,5,5,339,474,25,25,28,55,87.8,80.6,7,6,11.6,6.2
22200072,11,1610612738,1610612739,123,132,-9,5,9,0.512,0.517,0.393939394,0.457142857,9,5,465,453,22,25,39,42,84.75,94.8,6.25,5,7,11
22200076,11,1610612750,1610612747,111,102,9,14,12,0.414,0.416,0.325,0.310344828,13,8,597,409,36,42,57,34,93,90.6,4.4,5,7.8,8.4
22200075,11,1610612749,1610612752,119,108,11,19,13,0.385,0.398,0.288888889,0.342857143,8,6,325,491,18,23,29,59,99.5,81.8,6,8.4,9.5,6.8
22200079,11,1610612756,1610612740,124,111,13,14,9,0.522,0.442,0.303030303,0.405405405,7,10,464,488,31,33,44,54,81.25,98.2,4.5,4.6,7.25,11.8
22200080,11,1610612757,1610612745,125,111,14,11,13,0.533,0.426,0.371428571,0.368421053,9,10,567,549,37,31,57,74,92.8,97.6,6.2,6.6,8.8,10.8
22200077,11,1610612759,1610612741,129,124,5,8,15,0.535,0.475,0.421052632,0.333333333,7,13,590,556,39,46,61,55,94.5,91.5,6.166666667,5.166666667,9.5,12.33333333
