"Game_id","Day","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals"
22200117,16,1610612747,1610612740,120,117,3,11,11,0.459,0.461,0.277777777777778,0.32,6,10
22200118,17,1610612753,1610612744,130,129,1,11,9,0.538,0.515,0.433333333333333,0.441860465116279,9,5
22200119,17,1610612760,1610612743,110,122,-12,10,8,0.484,0.536,0.206896551724138,0.580645161290323,9,5
22200126,18,1610612759,1610612746,106,113,-7,6,3,0.477,0.525,0.387096774193548,0.454545454545455,7,6
22200120,18,1610612765,1610612739,88,112,-24,9,10,0.373,0.543,0.351351351351351,0.423076923076923,10,5
22200127,18,1610612742,1610612761,111,110,1,6,18,0.506,0.443,0.352941176470588,0.323529411764706,12,10
22200122,18,1610612755,1610612752,104,106,-2,13,10,0.378,0.463,0.276595744680851,0.272727272727273,12,5
22200121,18,1610612754,1610612748,101,99,2,5,8,0.463,0.383,0.307692307692308,0.282051282051282,7,10
22200123,18,1610612764,1610612751,86,128,-42,7,7,0.361,0.556,0.235294117647059,0.5,4,8
22200131,18,1610612747,1610612762,116,130,-14,9,15,0.482,0.505,0.423076923076923,0.425,6,8
22200124,18,1610612738,1610612741,123,119,4,7,4,0.494,0.518,0.290322580645161,0.392857142857143,5,8
22200129,18,1610612750,1610612749,102,115,-13,10,7,0.424,0.482,0.268292682926829,0.447368421052632,2,7
22200125,18,1610612763,1610612766,130,99,31,18,12,0.51,0.384,0.444444444444444,0.296296296296296,6,11
22200130,18,1610612756,1610612757,106,108,-2,13,11,0.434,0.506,0.411764705882353,0.434782608695652,8,6
22200128,18,1610612740,1610612744,114,105,9,9,3,0.506,0.493,0.413793103448276,0.375,10,7
22200136,19,1610612749,1610612760,108,94,14,18,9,0.422,0.429,0.361702127659574,0.342857142857143,7,6
22200137,19,1610612750,1610612745,129,117,12,9,12,0.613,0.476,0.454545454545455,0.421052631578947,11,10
22200133,19,1610612766,1610612751,94,98,-4,13,9,0.372,0.393,0.333333333333333,0.333333333333333,3,8
22200138,19,1610612743,1610612759,126,101,25,10,6,0.609,0.488,0.517241379310345,0.4,10,8
22200134,19,1610612737,1610612740,124,121,3,12,19,0.456,0.435,0.25,0.304347826086957,12,8
22200139,19,1610612756,1610612757,102,82,20,11,8,0.427,0.38,0.366666666666667,0.466666666666667,7,5
