"Game_id","Home_ID","Away_ID","Home_pts","Away_pts","Spread","Home_oreb","Away_oreb","Matchup_ID"
22200535,1610612743,1610612748,124,119,5,5,11,4348
22200533,1610612749,1610612750,123,114,9,20,7,4950
22200538,1610612754,1610612746,131,130,1,8,8,4654
22200540,1610612741,1610612739,102,103,-1,9,15,3941
22200542,1610612759,1610612742,125,126,-1,15,6,4259
22200541,1610612745,1610612752,88,108,-20,12,16,4552
22200544,1610612750,1610612765,104,116,-12,9,15,5065
22200543,1610612763,1610612740,116,101,15,13,15,4063
22200539,1610612766,1610612751,106,123,-17,14,2,5166
22200546,1610612762,1610612748,123,126,-3,16,10,4862
22200545,1610612760,1610612755,96,115,-19,15,14,5560
22200547,1610612763,1610612758,118,108,10,21,14,5863
22200549,1610612743,1610612738,123,111,12,1,10,3843
22200548,1610612749,1610612764,95,118,-23,14,12,4964
22200551,1610612766,1610612747,115,121,-6,8,9,4766
22200550,1610612752,1610612756,102,83,19,5,5,5256
22200554,1610612755,1610612740,120,111,9,7,10,4055
22200553,1610612754,1610612761,122,114,8,15,12,5461
22200552,1610612739,1610612741,145,134,11,13,6,3941
22200557,1610612750,1610612743,124,111,13,11,18,4350
22200555,1610612751,1610612759,139,103,36,7,15,5159
22200556,1610612745,1610612742,106,111,-5,8,8,4245
22200558,1610612744,1610612737,143,141,2,23,10,3744
22200560,1610612746,1610612748,100,110,-10,3,12,4648
22200559,1610612757,1610612765,135,106,29,6,9,5765
22200561,1610612749,1610612764,123,113,10,15,14,4964
22200562,1610612760,1610612738,150,117,33,9,11,3860
22200563,1610612762,1610612758,115,117,-2,12,7,5862
22200565,1610612739,1610612756,90,88,2,7,8,3956
22200564,1610612766,1610612763,107,131,-24,10,11,6366
22200566,1610612753,1610612760,126,115,11,13,9,5360
22200567,1610612755,1610612754,129,126,3,14,13,5455
22200568,1610612752,1610612759,117,114,3,14,9,5259
22200572,1610612740,1610612745,119,108,11,15,12,4045
22200569,1610612761,1610612749,101,104,-3,14,13,4961
22200570,1610612741,1610612751,121,112,9,6,5,4151
22200571,1610612750,1610612757,113,106,7,8,12,5057
22200573,1610612744,1610612765,119,122,-3,9,11,4465
22200575,1610612758,1610612737,117,120,-3,10,7,3758
22200574,1610612747,1610612748,112,109,3,9,14,4748
22200578,1610612745,1610612762,114,131,-17,14,9,4562
22200577,1610612742,1610612738,95,124,-29,11,10,3842
22200579,1610612743,1610612746,122,91,31,10,8,4346
22200576,1610612753,1610612763,115,123,-8,7,9,5363
22200583,1610612749,1610612766,109,138,-29,12,13,4966
