Away,Home,Spread_Pred
Grizzlies,Warriors,-0.5
Raptors,Kings,2.5
Jazz,Trail Blazers,1.5
Spurs,Lakers,6.5
Bulls,Pacers,1
Celtics,Heat,1
Cavaliers,Knicks,0.5
Nuggets,Pelicans,1.5
Wizards,Mavericks,6
Hornets,Suns,8.5
Clippers,Lakers,-0.5
Celtics,Magic,-6.5
Bucks,Pistons,-6
Hawks,Bulls,#N/A
Timberwolves,Rockets,-5
Hornets,Jazz,9
Spurs,Trail Blazers,6.5
Grizzlies,Kings,1.5
Clippers,Mavericks,4.5
Pelicans,Heat,4
Knicks,Raptors,2.5
Grizzlies,Suns,-3.5
Thunder,Nuggets,4
Nets,Warriors,2.5
Lakers,Trail Blazers,5
Celtics,Raptors,-2
Magic,Wizards,7
Hornets,Hawks,8
Bucks,Cavaliers,3
Rockets,Timberwolves,10
Pacers,Suns,4
76ers,Kings,1.5
Pelicans,Magic,-2
Warriors,Cavaliers,13
Heat,Mavericks,2.5
Knicks,Hawks,3
Clippers,Spurs,-3
Nets,Jazz,5
Pacers,Nuggets,5.5
Grizzlies,Lakers,-5.5
Thunder,Kings,4
Bulls,Pistons,-5.5
Warriors,Celtics,6
Raptors,Timberwolves,-1
Nets,Suns,-1
76ers,Trail Blazers,-2
Hawks,Mavericks,3
Wizards,Knicks,6
Hornets,Rockets,-2
Cavaliers,Grizzlies,7.5
Pacers,Thunder,4
Heat,Pelicans,1
Clippers,Jazz,9
Timberwolves,Nuggets,8
Kings,Lakers,1.5
Raptors,Bucks,1.5
Nets,Spurs,-2.5
Trail Blazers,Nuggets,8.5
76ers,Clippers,0.5
Celtics,Hornets,-7
Pacers,Bucks,4.5
Warriors,Wizards,1
Pelicans,Cavaliers,4
Raptors,Knicks,2.5
Heat,Hawks,2
Jazz,Timberwolves,4.5
Suns,Grizzlies,9.5
Rockets,Lakers,8
Knicks,Pistons,-5
Rockets,Clippers,11
Warriors,Bulls,#N/A
Thunder,Nets,5.5
Kings,Spurs,-2.5
Magic,Nuggets,12
Mavericks,Trail Blazers,9
76ers,Lakers,-3
Bucks,Heat,2.5
Celtics,Hornets,-6
Grizzlies,Pacers,-6
Hawks,Raptors,6
Cavaliers,Timberwolves,-1.5
76ers,Jazz,-4
Mavericks,Trail Blazers,0.5
Hawks,Pacers,-1.5
Pelicans,Pistons,-6.5
Knicks,Wizards,-1
Warriors,Spurs,-4.5
Thunder,Bulls,6
Suns,Timberwolves,5
Magic,Jazz,7.5
Nuggets,Clippers,2.5
Rockets,Kings,10.5
Thunder,76ers,9.5
Celtics,Nets,0.5
Hornets,Raptors,6.5
Bucks,Heat,3.5
Cavaliers,Trail Blazers,-0.5
Mavericks,Lakers,-3.5
Bulls,Wizards,-0.5
Timberwolves,Pistons,-6.5
Pacers,Knicks,5
Bucks,Hawks,0.5
Pelicans,Celtics,7.5
Spurs,Grizzlies,13
Rockets,Kings,9
Suns,Nuggets,14
Pistons,76ers,11.5
Hornets,Raptors,6
Thunder,Heat,-1.5
Cavaliers,Jazz,2
Magic,Trail Blazers,7.5
Suns,Warriors,9.5
Mavericks,Clippers,-0.5
Pelicans,Wizards,0.5
Bulls,Celtics,8.5
Bucks,Knicks,4
Spurs,Grizzlies,11
Lakers,Nuggets,16
Magic,Kings,5.5
76ers,Pistons,-4.5
Trail Blazers,Raptors,4.5
Hornets,Pacers,4
Nets,Heat,#N/A
Jazz,Grizzlies,6.5
Mavericks,Thunder,4
Timberwolves,Rockets,-4
Cavaliers,Suns,-1
Hawks,Clippers,0.5
Celtics,Spurs,-12
Pelicans,Mavericks,7
Jazz,Bulls,-1
Magic,Warriors,7.5
Lakers,Kings,7.5
Bulls,76ers,6.5
Trail Blazers,Pacers,3.5
Nets,Pelicans,1
Knicks,Raptors,1.5
Hornets,Bucks,7
Pistons,Spurs,2.5
Wizards,Thunder,#N/A
Cavaliers,Nuggets,5
Clippers,Timberwolves,8
Heat,Suns,1.5
Hawks,Lakers,-2
Grizzlies,Magic,-6.5
Celtics,Mavericks,0.5
Jazz,Rockets,-6.5
Clippers,Nuggets,5
Pacers,76ers,5
Grizzlies,Hornets,-5
Thunder,Magic,1.5
Suns,Cavaliers,3.5
Bucks,Raptors,4.5
Spurs,Knicks,10.5
Nets,Bulls,-2
Rockets,Pelicans,9.5
Trail Blazers,Timberwolves,3.5
Hawks,Kings,#N/A
Pistons,Warriors,7
Heat,Lakers,-5
Celtics,Thunder,-9
Wizards,Bucks,4.5
Kings,Jazz,6
Suns,Knicks,4.5
Bulls,Cavaliers,5
Lakers,Hornets,1.5
Pelicans,76ers,3.5
Raptors,Pacers,1
Spurs,Nets,11
Mavericks,Rockets,-7
Nuggets,Timberwolves,-0.5
Hawks,Warriors,1
Pistons,Trail Blazers,8
Heat,Clippers,1.5
Celtics,Nuggets,1
Kings,Grizzlies,7
Wizards,Bucks,2
Clippers,Pacers,#N/A
Nets,Hornets,-4.5
Cavaliers,Bulls,-1
Mavericks,Spurs,-6
Knicks,Rockets,-6
Pistons,Timberwolves,8.5
Pelicans,Grizzlies,7
76ers,Thunder,-2.5
Heat,Jazz,5.5
Wizards,Magic,-6.5
Lakers,Hawks,6
Suns,Raptors,1
Pistons,Bulls,7.5
Timberwolves,Bucks,6
76ers,Pelicans,1
Heat,Nuggets,6.5
Trail Blazers,Warriors,3.5
Jazz,Kings,1
Cavaliers,Pacers,-0.5
Thunder,Hornets,2
Clippers,Celtics,7
Grizzlies,Raptors,-1.5
Knicks,Spurs,-5
Rockets,Mavericks,13.5
Magic,Pistons,3
Suns,Wizards,#N/A
Nets,Hawks,-3
Lakers,Heat,7.5
Bucks,Bulls,-1
Timberwolves,Pelicans,4.5
Nuggets,Kings,#N/A
Jazz,Warriors,-3
Lakers,Magic,2.5
76ers,Wizards,-4
Hawks,Pacers,-1.5
Rockets,Celtics,16.5
Clippers,Raptors,4
Suns,Grizzlies,7
Spurs,Thunder,6
Knicks,Mavericks,4.5
