"","Home ID","Away ID","Game_id","Day","Home_pts","Away_pts","Spread_Pred","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"32",1610612749,1610612745,22200033,5,125,105,14.5,20,8,15,0.565,0.387,0.516129032,0.432432432,6,9,90,229,4,8,7,28,72,52.5,6.666666667,2.5,7.333333333,3,4360,1610612743,1610612760,105,125,0.387,0.565,15,8,0.432432432,0.516129032,229,90,8,4,28,7,52.5,72,2.5,6.666666667,3,7.333333333
"33",1610612753,1610612738,22200030,5,120,126,-11,-6,12,7,0.474,0.483,0.441176471,0.404255319,5,5,207,237,14,12,20,18,45,76.33333333,2,2.666666667,3.5,9.333333333,4861,1610612748,1610612761,126,120,0.483,0.474,7,12,0.404255319,0.441176471,237,207,12,14,18,20,76.33333333,45,2.666666667,2,9.333333333,3.5
"34",1610612754,1610612765,22200029,5,124,115,6.5,9,20,17,0.437,0.389,0.380952381,0.428571429,7,5,241,219,15,17,26,25,52.5,81.33333333,3,4.666666667,2.5,12.33333333,5559,1610612755,1610612759,115,124,0.389,0.437,17,20,0.428571429,0.380952381,219,241,17,15,25,26,81.33333333,52.5,4.666666667,3,12.33333333,2.5
"35",1610612755,1610612759,22200028,5,105,114,11,-9,12,12,0.44,0.483,0.322580645,0.421052632,6,5,205,239,14,17,10,21,57.5,51.5,5.5,3.5,5.5,5,5465,1610612754,1610612765,114,105,0.483,0.44,12,12,0.421052632,0.322580645,239,205,17,14,21,10,51.5,57.5,3.5,5.5,5,5.5
"36",1610612758,1610612746,22200036,5,109,111,-1,-2,9,5,0.471,0.506,0.4,0.409090909,5,8,115,103,11,7,11,10,69,79,4.666666667,4,6.666666667,6,3853,1610612738,1610612753,111,109,0.506,0.471,5,9,0.409090909,0.4,103,115,7,11,10,11,79,69,4,4.666666667,6,6.666666667
"37",1610612737,1610612766,22200038,6,109,126,10,-17,16,14,0.411,0.522,0.228571429,0.423076923,8,7,225,241,22,16,13,25,77.66666667,72,3,4.333333333,4.666666667,6.333333333,4458,1610612744,1610612758,126,109,0.522,0.411,14,16,0.423076923,0.228571429,241,225,16,22,25,13,72,77.66666667,4.333333333,3,6.333333333,4.666666667
"38",1610612739,1610612764,22200039,6,117,107,2.5,10,16,4,0.427,0.494,0.393939394,0.428571429,10,9,233,216,9,13,14,19,84.66666667,85,6,7,12,10,3964,1610612739,1610612764,117,107,0.427,0.494,16,4,0.393939394,0.428571429,233,216,9,13,14,19,84.66666667,85,6,7,12,10
"39",1610612740,1610612762,22200040,6,121,122,4,-1,14,15,0.471,0.439,0.296296296,0.342105263,8,13,254,255,18,21,36,30,75,80.33333333,5.333333333,3.666666667,8.666666667,11.66666667,4062,1610612740,1610612762,121,122,0.471,0.439,14,15,0.296296296,0.342105263,254,255,18,21,36,30,75,80.33333333,5.333333333,3.666666667,8.666666667,11.66666667
"40",1610612744,1610612758,22200042,6,130,125,9.5,5,6,13,0.517,0.47,0.424242424,0.255813953,7,10,246,214,21,15,18,15,68.66666667,76,8.333333333,6.333333333,5.666666667,8,4757,1610612747,1610612757,125,130,0.47,0.517,13,6,0.255813953,0.424242424,214,246,15,21,15,18,76,68.66666667,6.333333333,8.333333333,8,5.666666667
"41",1610612746,1610612756,22200043,6,95,112,NA,-17,9,13,0.439,0.462,0.28125,0.357142857,10,5,214,218,15,18,15,17,80.33333333,73,5,5.666666667,8.666666667,8.333333333,5060,1610612750,1610612760,112,95,0.462,0.439,13,9,0.357142857,0.28125,218,214,18,15,17,15,73,80.33333333,5.666666667,5,8.333333333,8.666666667
