player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Montrezl Harrell,harremo01,2023,1318,626,-1.493179375412788,2.692809248201369,1.199629872788581,-1.114125466572176,-.1028842546722601,-1.217009721244436,-1.543942550672606,2.228627869155216,.6846853184826101,1.09874481939419,1.09874481939419,0,-2.480886669961538,1.251601054134563,-1.229285615826975,.1617194846964079
Gary Harris,harriga01,2023,1976,948,-.0095918820017183,-.4956288133449848,-.505220695346703,2.660506080021679,-4.4106944556651,-1.75018837564342,.5688029147897294,-1.328686289167287,-.759883374377558,.9589953013698373,.9589953013698373,0,-.5392469659829561,-.9303160602305729,-1.469563026213529,-.3737792970172976
Joe Harris,harrijo01,2023,2842,1356,-.6460565779547813,-2.456893664341246,-3.102950242296027,-1.723073846140218,-1.656395441476486,-3.379469287616703,-.9169872856060476,-2.447523185553717,-3.364510471159764,-.4266855332377018,-.4266855332377018,0,-1.026937190145546,-2.340215463871728,-3.367152654017274,.3676194284845818
Kevon Harris,harrike01,2023,724,343,-2.214922005470921,.2293676855649144,-1.985554319906006,-.3635448137501686,2.40659381375021,2.043049000000042,-1.934593670262569,.7199221855740888,-1.214671484688481,.2692718543061493,.2692718543061493,0,-3.111087078372553,-.1209146521717659,-3.232001730544319,.2222701374216014
Tobias Harris,harrito02,2023,4152,2051,-.4730657030744497,-.6766862502627495,-1.149751953337199,1.012282961815762,2.133591301763454,3.145874263579216,-.2294664447633858,-.1398163256752107,-.3692827704385965,2.463089000831404,2.463089000831404,0,-.2112505228324709,.1228097167075937,-.0884408061248772,-1.140478544711206
Isaiah Hartenstein,harteis01,2023,2895,1391,-1.564949130614396,2.369688598211924,.804739467597529,.2870533202884319,3.426833208079573,3.713886528368005,-1.303495967240091,2.72150428738688,1.418008320146789,2.954093549872593,2.954093549872593,0,-1.178766751619078,2.447424784275163,1.268658032656085,-.1328663911363482
Josh Hart,hartjo01,2023,4381,2127,.4909592370637303,1.451028001464168,1.941987238527898,4.661791207117735,2.567405412679667,7.229196619797403,1.367149157398394,1.803685947587975,3.170835104986369,6.430079476176686,6.430079476176686,0,.8079714141188246,1.953453660378647,2.761425074497472,-.1586223629275564
Udonis Haslem,hasleud01,2023,101,46,-10.94788500324317,8.198451456708442,-2.749433546534723,-5.523370702946696,-4.978367814476322,-10.50173851742302,-10.49508849191083,5.923676276222109,-4.571412215688717,-.0429941400579181,-.0429941400579181,0,-9.860351525194886,4.501676195691569,-5.358675329503318,.5834921001057459
Sam Hauser,hausesa01,2023,2241,1060,1.370109382063529,.1624864343041331,1.532595816367662,-.1761392493061237,1.894288125180135,1.718148875874011,1.083356343759854,.4930631549512587,1.576419498711112,2.335952164165224,2.335952164165224,0,1.375284349115426,-.0392708923472605,1.336013456768166,-.1651517599838554
Jaxson Hayes,hayesja02,2023,1262,593,-2.469128973333647,.6062060648745753,-1.862922908459072,-6.845765170361449,.9745820670831969,-5.871183103278253,-3.537302027950495,.696090500555378,-2.841211527395117,-.027690934123026,-.027690934123026,0,-3.686471427741619,-.6601086003332352,-4.346580028074854,.3476129524515313
Killian Hayes,hayeski01,2023,3638,1732,-2.323973894035593,1.025891546928681,-1.298082347106912,-3.445488854229299,-.0369113778929208,-3.482400232122219,-2.643133426098383,.9249526421918504,-1.718180783906533,.9117511440683342,.9117511440683342,0,-2.176011306883826,1.135538696599749,-1.040472610284077,-.0036350103519737
Gordon Hayward,haywago01,2023,3070,1426,-2.381988235210212,-.1910035697857076,-2.57299180499592,-2.208944874932818,2.953375923132159,.74443104819934,-2.430367380457908,.470015640381296,-1.960351740076612,.5770468697049187,.5770468697049187,0,-2.586980473713305,-.2324690362199722,-2.819449509933277,.4467307753910278
Juancho Hernangomez,hernaju01,2023,1269,614,-2.753073422910958,-.7100841768800348,-3.463157599790993,.9506968650107358,-1.750729583105221,-.8000327180944855,-2.163414186807774,-.9715630175420793,-3.134977204349853,-.1196983949371482,-.1196983949371482,0,-2.528561463836616,-.7861161488470021,-3.314677612683619,-.7539814411536425
Willy Hernangomez,hernawi01,2023,954,441,-1.14950560387313,1.237794887403239,.0882892835301086,-4.087129809054503,2.380526532275566,-1.706603276778937,-1.819535489447574,1.499011778577028,-.320523710870546,.5495616246600358,.5495616246600358,0,-2.070182264157437,.8668610829145207,-1.203321181242917,.5418710072214316
Tyler Herro,herroty01,2023,4031,1981,.5658881002991797,-1.738928311323184,-1.173040211024004,1.959336091177318,1.201524812634014,3.160860903811331,.949444382602055,-1.245942141593813,-.2964977589917582,2.47203513875201,2.47203513875201,0,1.302652379681269,-.7052869761896458,.597365403491623,-.3149120702652922
Buddy Hield,hieldbu01,2023,4649,2188,1.231871343301588,-.4105605931721418,.8213107501294463,2.211421520865653,-1.430815899809069,.7806056210565839,1.518737501032682,-.6165610923952155,.9021764086374663,4.103248491085386,4.103248491085386,0,2.505258950152707,.1400257592468795,2.645284709399586,.6502828852282564
Haywood Highsmith,highsha01,2023,1742,856,-3.653931541095679,2.438159633738506,-1.215771907357173,-4.609735031252237,.7848248765388258,-3.824910154713411,-4.079628238356426,2.2232544063446,-1.856373832011826,.3893676976294493,.3893676976294493,0,-3.943260940439743,1.752894232127733,-2.19036670831201,-.2345636351744781
George Hill,hillge01,2023,1537,726,-1.64412192133212,1.286113623097709,-.358008298234412,-3.741246541427455,2.062073843643891,-1.679172697783565,-2.175556443361104,1.473229252307951,-.7023271910531528,.7503932244947148,.7503932244947148,0,-2.442973909423027,1.11007646760571,-1.332897441817317,-1.07232511625718
Malcolm Hill,hillma01,2023,23,9,-3.201769315327544,-2.771415580560729,-5.973184895888274,9.19092398853496,29.23867050987498,38.42959449840994,-.7760190268386937,3.740193947089946,2.964174920251252,.0264004696725986,.0264004696725986,0,.3639739022374573,-3.560743820499405,-3.196769918261948,.6238149761954417
Aaron Holiday,holidaa01,2023,1582,732,-1.628044751815929,2.509498781326939,.8814540295110097,-1.501949299286983,1.583082243755265,.0811329444682825,-1.701430469422199,2.486779852423019,.7853493830008192,1.317115942760746,1.317115942760746,0,-1.581400286788043,1.083356923999405,-.4980433627886376,-.2460877995651722
Jrue Holiday,holidjr01,2023,4027,1886,2.58697372128631,1.058652388313646,3.645626109599956,4.427025188887159,1.425017312457241,5.8520425013444,3.123907647661888,1.136026681834081,4.25993432949597,6.786082129772967,6.786082129772967,0,3.434383216824624,1.193259097915082,4.627642314739705,.6116199452647341
Justin Holiday,holidju01,2023,1249,577,-3.385997085629726,-2.474170517671725,-5.860167603301451,-6.268895761825232,.2881382920399125,-5.98075746978532,-4.20247307602471,-2.028721162711736,-6.231194238736447,-1.026786946820245,-1.026786946820245,0,-3.274723391843442,-2.783887053468463,-6.058610445311905,.1977759035583528
Richaun Holmes,holmeri01,2023,657,305,-2.812475100025033,-5.429370652066249,-8.241845752091281,-6.147550948328449,.6502726475516367,-5.497278300776812,-3.70258786801895,-4.458867680376357,-8.161455548395306,-.8360161565179298,-.8360161565179298,0,-4.03165827893151,-4.782810838385549,-8.81446911731706,-.7272601039981228
Al Horford,horfoal01,2023,3476,1675,-.5023007827557842,1.435852161863726,.9335513791079419,1.439054355135772,-.5111344432401177,.9279199118956537,-.1653908693586339,1.090037203136353,.9246463337777187,3.118586850681291,3.118586850681291,0,-.2130619000734843,1.3234088202778,1.110346920204316,-.6980025793786385
Talen Horton-Tucker,hortota01,2023,2197,1018,-1.111059283343548,.0845757554415401,-1.026483527902008,-1.822971255260097,3.423702222777982,1.600730967517884,-1.351684645519965,.8132603984902129,-.5384242470297518,1.155349142935415,1.155349142935415,0,-1.594173039215711,-.529080755616871,-2.123253794832582,.5882756807749102
Danuel House Jr.,houseda01,2023,1285,611,-2.21753029383219,-1.465703128327954,-3.683233422160144,-2.014809960053391,-2.600027768690952,-4.614837728744343,-2.333727687403784,-1.809264323234731,-4.142992010638515,-.4319650371221709,-.4319650371221709,0,-2.213351818711597,-2.242712135045373,-4.456063953756971,-.5290355892012035
Caleb Houstan,houstca01,2023,1259,602,-1.145118695568789,-2.545533178365292,-3.690651873934082,-.5591829552929903,-1.19124122332747,-1.75042417862046,-1.064217956274372,-2.393491701379253,-3.457709657653625,-.2158972979698107,-.2158972979698107,0,-1.836055532703,-3.236594647383884,-5.072650180086884,-.682277625355761
Trevor Hudgins,hudgitr01,2023,57,28,-3.851301328277465,-4.229687515216992,-8.080988843494456,-4.278215183064814,10.92035059946938,6.642135416404564,-4.040136435304414,-1.188235199263388,-5.228371634567802,-.0350177150714063,-.0350177150714063,0,-2.549960067084978,-4.936822413824285,-7.486782480909262,-1.104452191313165
